machine,start,end,peak_risk,mean_risk,n_buckets,hit
Makine 5,2026-05-07 07:27:00+00:00,2026-05-07 09:21:00+00:00,0.357,0.254,115,True
Makine 3,2026-04-27 09:07:00+00:00,2026-04-27 09:34:00+00:00,0.357,0.258,28,True
Makine 5,2026-04-08 11:20:00+00:00,2026-04-08 12:03:00+00:00,0.356,0.286,44,True
Makine 3,2026-03-13 08:14:00+00:00,2026-03-13 10:07:00+00:00,0.356,0.22,114,False
Makine 5,2026-05-07 10:33:00+00:00,2026-05-07 11:53:00+00:00,0.356,0.228,81,True
Makine 5,2026-05-04 09:59:00+00:00,2026-05-04 11:07:00+00:00,0.356,0.233,69,True
Makine 2,2026-04-30 12:38:00+00:00,2026-04-30 14:47:00+00:00,0.355,0.168,130,False
Makine 9,2026-03-17 06:55:00+00:00,2026-03-17 07:29:00+00:00,0.354,0.226,35,True
Makine 9,2026-04-17 05:06:00+00:00,2026-04-17 05:57:00+00:00,0.354,0.245,52,True
Makine 5,2026-05-11 10:07:00+00:00,2026-05-11 10:30:00+00:00,0.353,0.273,24,True
Makine 5,2026-04-21 10:18:00+00:00,2026-04-21 11:09:00+00:00,0.353,0.296,35,True
Makine 1,2026-03-17 12:14:00+00:00,2026-03-17 13:25:00+00:00,0.352,0.255,72,True
Makine 1,2026-04-09 11:18:00+00:00,2026-04-09 11:43:00+00:00,0.352,0.261,26,False
Makine 5,2026-04-29 07:10:00+00:00,2026-04-29 08:28:00+00:00,0.347,0.249,61,True
Makine 2,2026-04-14 05:03:00+00:00,2026-04-14 06:10:00+00:00,0.346,0.237,68,False
Makine 2,2026-05-05 11:44:00+00:00,2026-05-05 13:17:00+00:00,0.346,0.213,93,False
Makine 9,2026-03-24 05:12:00+00:00,2026-03-24 06:15:00+00:00,0.345,0.268,64,False
Makine 2,2026-03-06 04:50:00+00:00,2026-03-06 08:26:00+00:00,0.344,0.208,217,False
Makine 9,2026-03-04 11:06:00+00:00,2026-03-04 12:01:00+00:00,0.343,0.235,56,True
Makine 3,2026-05-07 07:10:00+00:00,2026-05-07 09:18:00+00:00,0.343,0.239,129,False
Makine 5,2026-04-02 10:07:00+00:00,2026-04-02 11:01:00+00:00,0.343,0.238,55,True
Makine 9,2026-03-04 12:49:00+00:00,2026-03-04 13:15:00+00:00,0.342,0.245,27,True
Makine 3,2026-03-11 05:54:00+00:00,2026-03-11 06:30:00+00:00,0.342,0.249,37,False
Makine 5,2026-05-05 08:23:00+00:00,2026-05-05 09:10:00+00:00,0.341,0.221,48,True
Makine 3,2026-05-11 04:59:00+00:00,2026-05-11 05:58:00+00:00,0.341,0.247,60,True
Makine 1,2026-04-06 09:51:00+00:00,2026-04-06 10:07:00+00:00,0.34,0.229,17,False
Makine 5,2026-04-20 07:44:00+00:00,2026-04-20 09:02:00+00:00,0.34,0.247,79,True
Makine 9,2026-04-14 11:24:00+00:00,2026-04-14 13:16:00+00:00,0.34,0.245,113,True
Makine 9,2026-02-27 12:26:00+00:00,2026-02-27 13:05:00+00:00,0.338,0.223,40,True
Makine 5,2026-04-22 10:20:00+00:00,2026-04-22 11:44:00+00:00,0.338,0.248,85,False
Makine 5,2026-03-24 05:24:00+00:00,2026-03-24 08:08:00+00:00,0.335,0.233,165,True
Makine 5,2026-04-29 08:55:00+00:00,2026-04-29 09:17:00+00:00,0.332,0.275,23,True
Makine 9,2026-02-23 08:26:00+00:00,2026-02-23 08:30:00+00:00,0.331,0.271,5,True
Makine 1,2026-04-27 10:47:00+00:00,2026-04-27 12:05:00+00:00,0.331,0.211,79,True
Makine 2,2026-04-22 14:06:00+00:00,2026-04-22 14:55:00+00:00,0.331,0.181,50,False
Makine 5,2026-05-12 10:01:00+00:00,2026-05-12 10:09:00+00:00,0.328,0.256,9,False
Makine 3,2026-05-07 10:30:00+00:00,2026-05-07 11:48:00+00:00,0.323,0.246,79,False
Makine 5,2026-04-01 10:04:00+00:00,2026-04-01 11:13:00+00:00,0.323,0.231,70,False
Makine 5,2026-05-08 06:44:00+00:00,2026-05-08 07:38:00+00:00,0.323,0.238,55,False
Makine 9,2026-01-30 12:53:00+00:00,2026-01-30 13:29:00+00:00,0.322,0.201,37,False
Makine 9,2026-02-23 09:04:00+00:00,2026-02-23 09:17:00+00:00,0.322,0.286,14,True
Makine 9,2026-03-06 06:31:00+00:00,2026-03-06 08:46:00+00:00,0.322,0.243,136,False
Makine 5,2026-04-14 07:50:00+00:00,2026-04-14 08:53:00+00:00,0.322,0.244,64,False
Makine 1,2026-05-13 09:59:00+00:00,2026-05-13 10:17:00+00:00,0.321,0.28,19,False
Makine 3,2026-05-22 05:00:00+00:00,2026-05-22 06:42:00+00:00,0.321,0.215,103,True
Makine 3,2026-05-11 11:02:00+00:00,2026-05-11 11:32:00+00:00,0.32,0.272,14,True
Makine 5,2026-04-27 09:05:00+00:00,2026-04-27 09:22:00+00:00,0.319,0.253,18,True
Makine 1,2026-03-06 11:58:00+00:00,2026-03-06 13:24:00+00:00,0.318,0.223,87,False
Makine 3,2026-04-15 12:37:00+00:00,2026-04-15 13:32:00+00:00,0.317,0.256,56,False
Makine 9,2026-05-05 10:01:00+00:00,2026-05-05 10:31:00+00:00,0.316,0.212,31,False
Makine 9,2026-04-27 06:31:00+00:00,2026-04-27 06:41:00+00:00,0.314,0.238,11,True
Makine 9,2026-04-14 06:33:00+00:00,2026-04-14 07:42:00+00:00,0.313,0.204,70,False
Makine 5,2026-04-08 08:17:00+00:00,2026-04-08 09:13:00+00:00,0.313,0.252,42,True
Makine 3,2026-05-12 05:03:00+00:00,2026-05-12 06:11:00+00:00,0.313,0.223,69,True
Makine 2,2026-03-02 08:30:00+00:00,2026-03-02 09:18:00+00:00,0.313,0.215,34,True
Makine 5,2026-03-30 08:59:00+00:00,2026-03-30 09:26:00+00:00,0.312,0.169,28,False
Makine 9,2026-03-31 11:41:00+00:00,2026-03-31 12:08:00+00:00,0.312,0.211,28,False
Makine 5,2026-03-31 10:32:00+00:00,2026-03-31 11:20:00+00:00,0.31,0.202,49,True
Makine 1,2026-04-28 08:57:00+00:00,2026-04-28 09:28:00+00:00,0.309,0.243,32,True
Makine 3,2026-05-06 08:31:00+00:00,2026-05-06 08:39:00+00:00,0.308,0.239,9,True
Makine 3,2026-03-13 12:56:00+00:00,2026-03-13 13:20:00+00:00,0.307,0.221,25,True
Makine 5,2026-03-27 05:20:00+00:00,2026-03-27 06:00:00+00:00,0.307,0.231,41,False
Makine 5,2026-04-15 10:44:00+00:00,2026-04-15 13:05:00+00:00,0.306,0.214,142,False
Makine 3,2026-04-22 07:13:00+00:00,2026-04-22 07:33:00+00:00,0.305,0.278,21,True
Makine 3,2026-04-28 07:30:00+00:00,2026-04-28 07:57:00+00:00,0.305,0.24,28,False
Makine 3,2026-04-29 07:36:00+00:00,2026-04-29 08:03:00+00:00,0.305,0.243,28,False
Makine 9,2026-03-18 08:24:00+00:00,2026-03-18 08:52:00+00:00,0.305,0.221,29,False
Makine 3,2026-05-11 07:44:00+00:00,2026-05-11 09:20:00+00:00,0.305,0.245,96,True
Makine 1,2026-05-22 08:58:00+00:00,2026-05-22 09:11:00+00:00,0.304,0.26,14,False
Makine 3,2026-04-30 10:02:00+00:00,2026-04-30 10:32:00+00:00,0.301,0.219,31,True
Makine 9,2026-03-27 05:06:00+00:00,2026-03-27 06:09:00+00:00,0.301,0.209,64,False
Makine 9,2026-02-10 10:47:00+00:00,2026-02-10 11:10:00+00:00,0.301,0.229,24,True
Makine 3,2026-04-22 12:33:00+00:00,2026-04-22 13:16:00+00:00,0.3,0.217,44,False
Makine 9,2026-02-05 08:48:00+00:00,2026-02-05 09:26:00+00:00,0.3,0.238,39,True
Makine 5,2026-04-20 04:56:00+00:00,2026-04-20 06:55:00+00:00,0.3,0.226,120,True
Makine 2,2026-02-26 11:28:00+00:00,2026-02-26 12:42:00+00:00,0.299,0.174,75,False
Makine 3,2026-05-04 07:23:00+00:00,2026-05-04 07:55:00+00:00,0.299,0.216,33,False
Makine 5,2026-04-15 06:32:00+00:00,2026-04-15 08:34:00+00:00,0.299,0.217,123,True
Makine 5,2026-05-08 10:53:00+00:00,2026-05-08 11:22:00+00:00,0.299,0.208,30,True
Makine 9,2026-02-25 12:39:00+00:00,2026-02-25 13:26:00+00:00,0.298,0.22,48,True
Makine 3,2026-03-05 11:00:00+00:00,2026-03-05 11:36:00+00:00,0.297,0.229,37,False
Makine 5,2026-04-01 06:39:00+00:00,2026-04-01 08:11:00+00:00,0.296,0.179,93,True
Makine 5,2026-03-26 05:24:00+00:00,2026-03-26 06:12:00+00:00,0.296,0.222,49,False
Makine 5,2026-03-31 08:40:00+00:00,2026-03-31 09:23:00+00:00,0.295,0.215,44,True
Makine 1,2026-04-16 05:09:00+00:00,2026-04-16 05:44:00+00:00,0.295,0.212,36,False
Makine 2,2026-05-12 11:05:00+00:00,2026-05-12 11:28:00+00:00,0.294,0.205,24,False
Makine 5,2026-04-09 06:45:00+00:00,2026-04-09 07:12:00+00:00,0.294,0.249,28,False
Makine 3,2026-04-09 06:46:00+00:00,2026-04-09 08:51:00+00:00,0.293,0.278,126,False
Makine 3,2026-04-06 06:37:00+00:00,2026-04-06 07:02:00+00:00,0.291,0.223,26,True
Makine 3,2026-04-21 05:10:00+00:00,2026-04-21 09:22:00+00:00,0.291,0.217,234,True
Makine 9,2026-03-18 07:11:00+00:00,2026-03-18 07:54:00+00:00,0.291,0.233,44,True
Makine 3,2026-05-14 07:28:00+00:00,2026-05-14 09:07:00+00:00,0.291,0.219,100,False
Makine 5,2026-03-25 08:18:00+00:00,2026-03-25 10:21:00+00:00,0.29,0.198,124,False
Makine 1,2026-03-09 05:23:00+00:00,2026-03-09 05:56:00+00:00,0.29,0.216,34,False
Makine 3,2026-04-21 10:11:00+00:00,2026-04-21 10:39:00+00:00,0.289,0.245,29,True
Makine 1,2026-05-11 05:07:00+00:00,2026-05-11 05:36:00+00:00,0.288,0.242,30,False
Makine 5,2026-04-01 04:48:00+00:00,2026-04-01 05:01:00+00:00,0.288,0.216,14,False
Makine 9,2026-03-05 12:52:00+00:00,2026-03-05 13:24:00+00:00,0.287,0.246,33,True
Makine 3,2026-03-27 12:40:00+00:00,2026-03-27 13:17:00+00:00,0.287,0.254,38,False
Makine 1,2026-03-31 06:36:00+00:00,2026-03-31 07:06:00+00:00,0.287,0.214,31,False
Makine 2,2026-03-31 05:21:00+00:00,2026-03-31 05:35:00+00:00,0.286,0.213,15,False
Makine 3,2026-05-13 05:02:00+00:00,2026-05-13 05:40:00+00:00,0.286,0.193,39,True
Makine 5,2026-05-04 04:42:00+00:00,2026-05-04 04:48:00+00:00,0.286,0.277,7,True
Makine 3,2026-04-14 10:16:00+00:00,2026-04-14 11:24:00+00:00,0.285,0.212,69,False
Makine 2,2026-04-16 14:11:00+00:00,2026-04-16 14:30:00+00:00,0.285,0.175,20,True
Makine 2,2026-04-30 06:56:00+00:00,2026-04-30 07:11:00+00:00,0.284,0.207,16,False
Makine 5,2026-03-26 08:32:00+00:00,2026-03-26 08:55:00+00:00,0.283,0.203,24,False
Makine 9,2026-02-26 12:22:00+00:00,2026-02-26 13:25:00+00:00,0.282,0.232,64,True
Makine 3,2026-04-22 05:45:00+00:00,2026-04-22 06:48:00+00:00,0.282,0.222,49,True
Makine 3,2026-04-03 04:56:00+00:00,2026-04-03 05:07:00+00:00,0.282,0.216,12,False
Makine 9,2026-03-16 12:24:00+00:00,2026-03-16 13:25:00+00:00,0.28,0.228,62,False
Makine 2,2026-05-08 06:15:00+00:00,2026-05-08 06:51:00+00:00,0.28,0.211,37,False
Makine 2,2026-04-09 05:19:00+00:00,2026-04-09 05:47:00+00:00,0.28,0.228,28,False
Makine 9,2026-02-11 05:06:00+00:00,2026-02-11 05:56:00+00:00,0.279,0.209,51,True
Makine 9,2026-02-10 14:23:00+00:00,2026-02-10 14:38:00+00:00,0.279,0.215,16,True
Makine 5,2026-03-17 06:07:00+00:00,2026-03-17 07:23:00+00:00,0.279,0.238,77,False
Makine 2,2026-03-05 10:11:00+00:00,2026-03-05 10:59:00+00:00,0.278,0.216,49,False
Makine 9,2026-04-17 07:23:00+00:00,2026-04-17 07:46:00+00:00,0.278,0.23,24,False
Makine 3,2026-04-20 06:33:00+00:00,2026-04-20 08:29:00+00:00,0.278,0.203,117,True
Makine 1,2026-03-10 12:22:00+00:00,2026-03-10 13:24:00+00:00,0.276,0.219,63,True
Makine 5,2026-03-17 07:46:00+00:00,2026-03-17 07:57:00+00:00,0.276,0.244,12,False
Makine 1,2026-03-04 05:16:00+00:00,2026-03-04 06:15:00+00:00,0.276,0.217,60,False
Makine 5,2026-04-02 08:01:00+00:00,2026-04-02 08:16:00+00:00,0.275,0.205,16,False
Makine 5,2026-03-31 11:44:00+00:00,2026-03-31 12:08:00+00:00,0.274,0.233,25,True
Makine 1,2026-05-06 07:46:00+00:00,2026-05-06 09:05:00+00:00,0.273,0.203,80,False
Makine 2,2026-03-23 05:25:00+00:00,2026-03-23 05:44:00+00:00,0.273,0.201,20,False
Makine 9,2026-03-06 10:37:00+00:00,2026-03-06 11:17:00+00:00,0.273,0.254,41,False
Makine 2,2026-04-20 12:35:00+00:00,2026-04-20 13:33:00+00:00,0.272,0.172,59,False
Makine 1,2026-04-28 10:15:00+00:00,2026-04-28 10:27:00+00:00,0.272,0.252,13,True
Makine 3,2026-03-24 05:22:00+00:00,2026-03-24 06:13:00+00:00,0.272,0.211,52,True
Makine 5,2026-05-13 10:40:00+00:00,2026-05-13 12:06:00+00:00,0.272,0.207,87,False
Makine 1,2026-05-05 13:00:00+00:00,2026-05-05 13:27:00+00:00,0.271,0.201,28,False
Makine 9,2026-04-28 08:23:00+00:00,2026-04-28 09:19:00+00:00,0.27,0.206,57,False
Makine 3,2026-03-30 11:48:00+00:00,2026-03-30 12:35:00+00:00,0.269,0.229,30,True
Makine 5,2026-05-20 08:38:00+00:00,2026-05-20 09:03:00+00:00,0.269,0.222,26,False
Makine 1,2026-05-04 06:23:00+00:00,2026-05-04 06:35:00+00:00,0.269,0.226,13,False
Makine 1,2026-03-05 10:45:00+00:00,2026-03-05 11:50:00+00:00,0.269,0.211,66,False
Makine 5,2026-04-21 04:41:00+00:00,2026-04-21 05:36:00+00:00,0.268,0.196,37,True
Makine 5,2026-03-12 12:38:00+00:00,2026-03-12 13:25:00+00:00,0.268,0.198,48,False
Makine 3,2026-03-26 12:25:00+00:00,2026-03-26 13:01:00+00:00,0.268,0.198,37,False
Makine 9,2026-03-23 05:01:00+00:00,2026-03-23 05:08:00+00:00,0.268,0.248,8,False
Makine 1,2026-03-30 11:29:00+00:00,2026-03-30 11:47:00+00:00,0.267,0.222,19,False
Makine 1,2026-03-18 13:00:00+00:00,2026-03-18 13:24:00+00:00,0.266,0.257,25,True
Makine 5,2026-04-14 12:36:00+00:00,2026-04-14 12:57:00+00:00,0.266,0.235,22,True
Makine 9,2026-04-14 08:13:00+00:00,2026-04-14 08:16:00+00:00,0.265,0.225,4,False
Makine 5,2026-05-06 04:59:00+00:00,2026-05-06 05:58:00+00:00,0.265,0.224,60,False
Makine 1,2026-03-03 13:08:00+00:00,2026-03-03 13:16:00+00:00,0.265,0.263,9,True
Makine 2,2026-03-26 10:29:00+00:00,2026-03-26 10:42:00+00:00,0.265,0.215,14,False
Makine 9,2026-04-29 05:01:00+00:00,2026-04-29 05:14:00+00:00,0.264,0.256,14,False
Makine 1,2026-05-13 13:00:00+00:00,2026-05-13 13:12:00+00:00,0.264,0.208,13,False
Makine 1,2026-04-15 07:26:00+00:00,2026-04-15 10:38:00+00:00,0.264,0.232,193,False
Makine 1,2026-04-08 11:42:00+00:00,2026-04-08 12:07:00+00:00,0.264,0.214,26,True
Makine 2,2026-03-11 12:22:00+00:00,2026-03-11 13:09:00+00:00,0.264,0.186,48,True
Makine 1,2026-03-12 10:47:00+00:00,2026-03-12 10:54:00+00:00,0.264,0.207,8,False
Makine 9,2026-04-14 08:52:00+00:00,2026-04-14 09:24:00+00:00,0.261,0.21,33,False
Makine 2,2026-04-09 06:09:00+00:00,2026-04-09 07:15:00+00:00,0.26,0.204,67,False
Makine 9,2026-04-13 06:45:00+00:00,2026-04-13 07:18:00+00:00,0.26,0.194,34,False
Makine 3,2026-03-12 05:32:00+00:00,2026-03-12 06:16:00+00:00,0.26,0.225,45,True
Makine 2,2026-05-12 07:44:00+00:00,2026-05-12 09:26:00+00:00,0.259,0.177,103,False
Makine 2,2026-03-31 06:39:00+00:00,2026-03-31 06:53:00+00:00,0.259,0.165,15,False
Makine 5,2026-04-08 06:57:00+00:00,2026-04-08 07:43:00+00:00,0.258,0.221,47,True
Makine 5,2026-03-30 06:53:00+00:00,2026-03-30 07:20:00+00:00,0.256,0.201,28,False
Makine 2,2026-05-15 11:05:00+00:00,2026-05-15 12:06:00+00:00,0.256,0.173,62,False
Makine 3,2026-04-27 06:41:00+00:00,2026-04-27 07:36:00+00:00,0.255,0.186,56,False
Makine 3,2026-04-20 09:17:00+00:00,2026-04-20 09:28:00+00:00,0.255,0.24,12,False
Makine 1,2026-05-15 10:13:00+00:00,2026-05-15 10:58:00+00:00,0.255,0.25,46,False
Makine 1,2026-04-20 09:08:00+00:00,2026-04-20 09:35:00+00:00,0.255,0.207,28,False
Makine 9,2026-02-23 12:02:00+00:00,2026-02-23 12:13:00+00:00,0.255,0.222,12,False
Makine 1,2026-05-06 12:03:00+00:00,2026-05-06 12:12:00+00:00,0.254,0.245,10,False
Makine 5,2026-03-23 06:48:00+00:00,2026-03-23 08:36:00+00:00,0.254,0.188,109,True
Makine 2,2026-05-11 05:29:00+00:00,2026-05-11 06:14:00+00:00,0.254,0.18,46,True
Makine 1,2026-03-12 08:09:00+00:00,2026-03-12 08:45:00+00:00,0.253,0.196,37,True
Makine 3,2026-04-16 04:46:00+00:00,2026-04-16 05:06:00+00:00,0.253,0.207,21,False
Makine 9,2026-02-10 05:01:00+00:00,2026-02-10 05:54:00+00:00,0.253,0.178,54,False
Makine 9,2026-05-05 08:59:00+00:00,2026-05-05 09:26:00+00:00,0.252,0.216,28,True
Makine 5,2026-05-20 12:58:00+00:00,2026-05-20 13:01:00+00:00,0.252,0.243,4,False
Makine 2,2026-03-26 06:12:00+00:00,2026-03-26 07:00:00+00:00,0.252,0.214,49,False
Makine 9,2026-04-28 06:49:00+00:00,2026-04-28 07:21:00+00:00,0.252,0.176,33,False
Makine 3,2026-04-30 05:02:00+00:00,2026-04-30 05:30:00+00:00,0.251,0.198,29,False
Makine 9,2026-02-04 05:08:00+00:00,2026-02-04 06:13:00+00:00,0.251,0.181,66,False
Makine 2,2026-04-03 05:00:00+00:00,2026-04-03 05:50:00+00:00,0.251,0.169,51,False
Makine 3,2026-03-30 06:37:00+00:00,2026-03-30 07:01:00+00:00,0.25,0.201,25,False
Makine 3,2026-03-25 08:12:00+00:00,2026-03-25 09:26:00+00:00,0.25,0.191,75,True
Makine 3,2026-04-20 05:49:00+00:00,2026-04-20 06:12:00+00:00,0.25,0.18,24,True
Makine 5,2026-04-17 04:41:00+00:00,2026-04-17 04:43:00+00:00,0.249,0.243,3,True
Makine 3,2026-05-21 05:01:00+00:00,2026-05-21 05:13:00+00:00,0.248,0.182,13,False
Makine 1,2026-04-06 05:53:00+00:00,2026-04-06 06:09:00+00:00,0.248,0.195,17,False
Makine 1,2026-03-13 05:58:00+00:00,2026-03-13 06:07:00+00:00,0.248,0.231,10,False
Makine 1,2026-03-26 11:29:00+00:00,2026-03-26 12:02:00+00:00,0.247,0.198,34,True
Makine 2,2026-03-27 11:17:00+00:00,2026-03-27 12:49:00+00:00,0.247,0.171,93,False
Makine 2,2026-04-30 05:00:00+00:00,2026-04-30 06:16:00+00:00,0.246,0.215,77,False
Makine 5,2026-03-30 08:07:00+00:00,2026-03-30 08:35:00+00:00,0.245,0.187,29,False
Makine 1,2026-05-22 13:07:00+00:00,2026-05-22 13:14:00+00:00,0.245,0.228,8,True
Makine 5,2026-04-13 08:16:00+00:00,2026-04-13 08:50:00+00:00,0.245,0.171,35,False
Makine 3,2026-05-08 12:32:00+00:00,2026-05-08 13:31:00+00:00,0.244,0.206,60,True
Makine 9,2026-03-30 05:49:00+00:00,2026-03-30 06:09:00+00:00,0.243,0.219,21,False
Makine 1,2026-04-27 07:21:00+00:00,2026-04-27 07:31:00+00:00,0.243,0.183,11,False
Makine 1,2026-04-28 05:04:00+00:00,2026-04-28 06:05:00+00:00,0.243,0.206,62,True
Makine 5,2026-03-13 05:13:00+00:00,2026-03-13 05:22:00+00:00,0.242,0.211,10,False
Makine 1,2026-03-23 08:41:00+00:00,2026-03-23 08:55:00+00:00,0.242,0.195,15,False
Makine 9,2026-05-06 05:08:00+00:00,2026-05-06 05:41:00+00:00,0.241,0.17,34,False
Makine 5,2026-04-15 09:16:00+00:00,2026-04-15 09:54:00+00:00,0.241,0.199,39,False
Makine 3,2026-04-14 06:49:00+00:00,2026-04-14 07:13:00+00:00,0.241,0.201,25,False
Makine 2,2026-03-09 07:33:00+00:00,2026-03-09 08:07:00+00:00,0.24,0.182,35,False
Makine 3,2026-03-31 10:41:00+00:00,2026-03-31 10:51:00+00:00,0.239,0.194,11,False
Makine 3,2026-04-27 05:04:00+00:00,2026-04-27 05:10:00+00:00,0.239,0.215,7,False
Makine 5,2026-04-16 11:03:00+00:00,2026-04-16 12:06:00+00:00,0.239,0.195,64,False
Makine 1,2026-05-04 13:00:00+00:00,2026-05-04 13:08:00+00:00,0.238,0.211,9,False
Makine 5,2026-04-16 07:34:00+00:00,2026-04-16 09:14:00+00:00,0.238,0.165,101,True
Makine 5,2026-04-02 06:48:00+00:00,2026-04-02 06:58:00+00:00,0.238,0.208,11,False
Makine 1,2026-03-30 13:00:00+00:00,2026-03-30 13:29:00+00:00,0.238,0.223,30,False
Makine 3,2026-05-14 11:01:00+00:00,2026-05-14 11:13:00+00:00,0.237,0.213,13,False
Makine 2,2026-04-17 11:57:00+00:00,2026-04-17 12:13:00+00:00,0.237,0.198,17,False
Makine 2,2026-04-21 09:19:00+00:00,2026-04-21 09:34:00+00:00,0.237,0.193,16,False
Makine 1,2026-04-08 06:43:00+00:00,2026-04-08 06:58:00+00:00,0.237,0.214,16,False
Makine 1,2026-04-10 10:32:00+00:00,2026-04-10 11:23:00+00:00,0.237,0.2,52,False
Makine 2,2026-03-11 05:45:00+00:00,2026-03-11 06:02:00+00:00,0.236,0.198,18,False
Makine 1,2026-04-30 13:05:00+00:00,2026-04-30 13:24:00+00:00,0.236,0.205,20,False
Makine 1,2026-05-06 10:21:00+00:00,2026-05-06 10:46:00+00:00,0.236,0.213,26,False
Makine 3,2026-03-24 12:45:00+00:00,2026-03-24 12:57:00+00:00,0.235,0.203,13,False
Makine 2,2026-04-14 10:59:00+00:00,2026-04-14 11:27:00+00:00,0.235,0.18,29,False
Makine 3,2026-04-06 08:02:00+00:00,2026-04-06 08:45:00+00:00,0.235,0.198,26,True
Makine 3,2026-05-20 06:09:00+00:00,2026-05-20 06:53:00+00:00,0.235,0.205,45,False
Makine 1,2026-04-21 09:58:00+00:00,2026-04-21 10:37:00+00:00,0.235,0.191,40,False
Makine 5,2026-03-27 06:22:00+00:00,2026-03-27 07:58:00+00:00,0.234,0.182,97,False
Makine 3,2026-05-08 10:57:00+00:00,2026-05-08 11:17:00+00:00,0.234,0.193,21,False
Makine 5,2026-03-18 11:11:00+00:00,2026-03-18 11:41:00+00:00,0.234,0.19,31,False
Makine 3,2026-04-13 12:48:00+00:00,2026-04-13 13:17:00+00:00,0.234,0.197,30,False
Makine 2,2026-05-14 08:42:00+00:00,2026-05-14 08:49:00+00:00,0.233,0.181,8,False
Makine 5,2026-03-24 04:42:00+00:00,2026-03-24 04:52:00+00:00,0.233,0.191,11,False
Makine 2,2026-04-02 11:39:00+00:00,2026-04-02 11:51:00+00:00,0.233,0.164,13,True
Makine 2,2026-04-07 05:17:00+00:00,2026-04-07 06:05:00+00:00,0.233,0.182,49,False
Makine 9,2026-03-17 09:16:00+00:00,2026-03-17 09:26:00+00:00,0.232,0.213,11,False
Makine 5,2026-04-06 06:38:00+00:00,2026-04-06 06:59:00+00:00,0.232,0.204,22,False
Makine 5,2026-04-03 04:54:00+00:00,2026-04-03 05:12:00+00:00,0.232,0.156,19,True
Makine 2,2026-04-29 12:31:00+00:00,2026-04-29 13:23:00+00:00,0.231,0.153,53,False
Makine 2,2026-03-16 11:03:00+00:00,2026-03-16 11:07:00+00:00,0.231,0.197,5,True
Makine 2,2026-05-06 06:31:00+00:00,2026-05-06 06:51:00+00:00,0.231,0.202,21,False
Makine 2,2026-04-02 05:30:00+00:00,2026-04-02 05:36:00+00:00,0.231,0.203,7,True
Makine 2,2026-04-08 04:53:00+00:00,2026-04-08 05:34:00+00:00,0.23,0.195,42,True
Makine 3,2026-03-23 05:01:00+00:00,2026-03-23 05:18:00+00:00,0.229,0.194,18,False
Makine 2,2026-03-16 12:53:00+00:00,2026-03-16 13:07:00+00:00,0.228,0.209,15,False
Makine 3,2026-04-28 05:18:00+00:00,2026-04-28 05:30:00+00:00,0.228,0.203,13,False
Makine 2,2026-04-07 11:34:00+00:00,2026-04-07 12:10:00+00:00,0.228,0.166,37,False
Makine 5,2026-03-26 04:41:00+00:00,2026-03-26 04:43:00+00:00,0.228,0.226,3,True
Makine 3,2026-03-10 12:00:00+00:00,2026-03-10 13:18:00+00:00,0.227,0.185,79,True
Makine 9,2026-02-05 05:45:00+00:00,2026-02-05 06:14:00+00:00,0.227,0.182,30,False
Makine 1,2026-03-24 11:19:00+00:00,2026-03-24 11:29:00+00:00,0.227,0.205,11,True
Makine 5,2026-04-01 08:35:00+00:00,2026-04-01 09:07:00+00:00,0.227,0.173,33,True
Makine 9,2026-03-17 12:47:00+00:00,2026-03-17 13:00:00+00:00,0.227,0.184,14,True
Makine 3,2026-05-04 11:05:00+00:00,2026-05-04 12:47:00+00:00,0.226,0.188,103,True
Makine 3,2026-03-12 12:51:00+00:00,2026-03-12 13:25:00+00:00,0.226,0.192,35,True
Makine 1,2026-04-15 05:17:00+00:00,2026-04-15 05:27:00+00:00,0.226,0.218,11,False
Makine 9,2026-02-05 05:00:00+00:00,2026-02-05 05:19:00+00:00,0.226,0.171,20,False
Makine 5,2026-04-30 04:52:00+00:00,2026-04-30 05:17:00+00:00,0.225,0.187,26,False
Makine 1,2026-04-07 11:35:00+00:00,2026-04-07 12:11:00+00:00,0.225,0.186,37,False
Makine 5,2026-04-09 11:10:00+00:00,2026-04-09 12:09:00+00:00,0.224,0.181,60,True
Makine 3,2026-05-04 04:40:00+00:00,2026-05-04 05:05:00+00:00,0.224,0.167,26,False
Makine 3,2026-05-20 05:35:00+00:00,2026-05-20 05:43:00+00:00,0.224,0.214,9,False
Makine 1,2026-05-22 08:07:00+00:00,2026-05-22 08:36:00+00:00,0.223,0.211,30,False
Makine 9,2026-02-12 05:02:00+00:00,2026-02-12 05:16:00+00:00,0.223,0.188,15,False
Makine 5,2026-03-16 13:13:00+00:00,2026-03-16 13:21:00+00:00,0.223,0.198,9,True
Makine 9,2026-04-01 06:43:00+00:00,2026-04-01 07:51:00+00:00,0.223,0.156,69,False
Makine 9,2026-04-14 05:05:00+00:00,2026-04-14 05:39:00+00:00,0.222,0.191,35,True
Makine 5,2026-05-11 04:42:00+00:00,2026-05-11 04:51:00+00:00,0.222,0.198,10,False
Makine 9,2026-03-10 10:57:00+00:00,2026-03-10 11:14:00+00:00,0.221,0.195,18,False
Makine 3,2026-04-14 08:46:00+00:00,2026-04-14 09:22:00+00:00,0.221,0.175,37,True
Makine 5,2026-03-23 09:01:00+00:00,2026-03-23 09:14:00+00:00,0.221,0.203,14,True
